SUBCAT,DESCRICAO
X720,Intentional self-harm by firing a handgun - residence
X721,Intentional self-inflicted injury by firing a handgun - collective housing
X722,"Intentional self-harm by firing a handgun - schools, other institutions and areas of public administration"
X723,Intentional self-harm by firing a handgun - area for sports and athletics
X724,Intentional self-harm by firing a handgun - street and road
X725,Intentional self-harm caused by handgun fire - commercial and service areas
X726,Intentional self-harm by handgun discharge - industrial and construction areas
X727,Intentional self-harm by firing a handgun - farm
X728,Intentional self-harm by firing a handgun - other specified locations
X729,Intentional self-harm by firing a handgun - location not specified
X730,"Intentional self-harm caused by firing a shotgun, carbine, or firearm of a larger caliber - residence"
X731,"Intentional self-harm caused by firing a shotgun, carbine, or firearm of a larger caliber - collective housing"
X732,"Intentional self-harm caused by firing a shotgun, carbine, or firearm of a larger caliber - schools, other institutions and areas of public administration"
X733,"Self-harm intentionally caused by firing a shotgun, carbine, or firearm of a larger caliber - area for the practice of sports and athletics"
X734,"Self-harm intentionally caused by firing a shotgun, carbine, or firearm of a larger caliber - street and road"
X735,"Intentional self-harm caused by firing a shotgun, carbine, or larger caliber firearm - commercial and service areas"
X736,"Intentional self-harm by firing a shotgun, carbine, or larger-caliber firearm - industrial and construction areas"
X737,"Intentional self-harm caused by firing a shotgun, carbine, or firearm of a larger caliber - farm"
X738,"Intentional self-harm by firing a shotgun, carbine, or firearm of a larger caliber - other specified locations"
X739,"Intentional self-harm by firing a shotgun, carbine, or firearm of a larger caliber - location not specified"
X740,Intentional self-harm by firing another firearm and an unspecified firearm - residence
X741,Intentional self-harm by firing another firearm and unspecified firearm - collective housing
X742,"Intentional self-harm by firing another firearm and unspecified firearm - schools, other institutions and areas of public administration"
X743,Self-harm intentionally caused by firing another firearm and unspecified firearm - area for sports and athletics
X744,Intentional self-harm by firing another firearm and unspecified firearm - street and road
X745,Intentional self-harm caused by another firearm and unspecified firearm - commercial and service areas
X746,Intentional self-harm by firing another firearm and unspecified firearm - industrial and construction areas
X747,Intentional self-harm by firing another firearm and unspecified firearm - farm
X748,Intentional self-harm by firing another firearm and unspecified firearm - other specified locations
X749,Intentional self-harm by firing another firearm and unspecified firearm - location not specified
X750,Intentional self-harm by explosive devices - residence
X751,Intentional self-harm by explosive devices - collective housing
X752,"Intentional self-harm by explosive devices - schools, other institutions and areas of public administration"
X753,Intentional self-harm caused by explosive devices - area for sports and athletics
X754,Intentional self-harm by explosive devices - street and road
X755,Intentional self-harm caused by explosive devices - commercial and service areas
X756,Intentional self-harm by explosive devices - industrial and construction areas
X757,Intentional self-harm by explosive devices - farm
X758,Intentional self-harm by explosive devices - other specified locations
X759,Intentional self-harm by explosive devices - location unspecified
X760,"Intentional self-harm caused by smoke, fire and flame - residence"
X761,"Intentional self-harm caused by smoke, fire and flame - collective housing"
X762,"Intentional self-harm caused by smoke, fire and flame - schools, other institutions and areas of public administration"
X763,"Intentional self-harm caused by smoke, fire and flame - area for sports and athletics"
X764,"Self-harm intentionally caused by smoke, fire and flames - street and road"
X765,"Intentional self-harm caused by smoke, fire and flames - commercial and service areas"
X766,"Intentional self-harm from smoke, fire and flame - industrial and construction areas"
X767,"Intentional self-harm caused by smoke, fire and flames - farm"
X768,"Intentional self-harm by smoke, fire and flame - other specified locations"
X769,"Intentional self-harm caused by smoke, fire and flame - location unspecified"
X770,"Intentional self-harm caused by water vapor, gases, or hot objects - residence"
X771,"Intentional self-harm caused by water vapour, gases or hot objects - collective housing"
X772,"Intentional self-harm caused by water vapour, gases or hot objects - schools, other institutions and areas of public administration"
X773,"Intentional self-harm caused by water vapor, gases, or hot objects - area for sports and athletics"
X774,"Intentional self-harm caused by water vapour, gases or hot objects - street and road"
X775,"Intentional self-harm caused by water vapour, gases or hot objects - commercial and service areas"
X776,"Intentional self-harm caused by water vapour, gases or hot objects - industrial and construction areas"
X777,"Intentional self-harm caused by water vapor, gases, or hot objects - farm"
X778,"Intentional self-harm caused by water vapour, gases or hot objects - other specified locations"
X779,"Intentional self-harm caused by water vapor, gases, or hot objects - location not specified"
X780,Intentional self-harm caused by a sharp or penetrating object - residence
X781,Intentional self-harm caused by a sharp or penetrating object - collective housing
X782,"Intentional self-harm caused by a sharp or penetrating object - schools, other institutions and areas of public administration"
X783,Intentional self-harm caused by a sharp or penetrating object - area for the practice of sports and athletics
X784,Intentional self-harm caused by a sharp or penetrating object - street and road
X785,Intentional self-harm caused by a sharp or penetrating object - commercial and service areas
X786,Intentional self-harm caused by a sharp or penetrating object - industrial and construction areas
X787,Intentional self-harm caused by a sharp or penetrating object - farm
X788,Intentional self-harm by sharp or penetrating object - other specified sites
X789,Intentional self-harm caused by a sharp or penetrating object - location not specified
X790,Intentional self-harm by blunt object - residence
X791,Intentional self-harm by blunt object - collective housing
X792,"Intentional self-harm by blunt object - schools, other institutions and areas of public administration"
X793,Self-harm intentionally caused by a blunt object - area for the practice of sports and athletics
X794,Intentional self-harm by blunt object - street and road
X795,Intentional self-harm by blunt object - commercial and service areas
X796,Intentional self-harm by blunt object - industrial and construction areas
X797,Intentional self-harm caused by blunt object - farm
X798,Intentional self-harm by blunt object - other specified locations
X799,Intentional self-harm by blunt object - location unspecified
X800,Intentional self-harm caused by precipitation from an elevated place - residence
X801,Intentional self-harm caused by precipitation from an elevated place - collective housing
X802,"Intentional self-harm caused by precipitation from an elevated place - schools, other institutions and areas of public administration"
X803,Intentional self-harm caused by precipitation from an elevated place - area for the practice of sports and athletics
X804,Self-harm intentionally caused by precipitation from an elevated place - street and road
X805,Intentional self-harm caused by precipitation from an elevated place - commercial and service areas
X806,Intentional self-harm caused by precipitation from an elevated place - industrial and construction areas
X807,Intentional self-harm caused by precipitation from an elevated place - farm
X808,Intentional self-harm caused by precipitation from an elevated place - other specified locations
X809,Self-harm intentionally caused by precipitation from an elevated place - location unspecified
X810,Self-harm intentionally caused by precipitation or standing in front of a moving object - residence
X811,Self-harm intentionally caused by precipitation or standing in front of a moving object - collective housing
X812,"Intentional self-harm caused by precipitation or standing in front of a moving object - schools, other institutions and areas of public administration"
X813,Self-harm intentionally caused by precipitation or standing in front of a moving object - area for sports and athletics
X814,Self-harm intentionally caused by precipitation or standing in front of a moving object - street and road
X815,Intentional self-harm caused by precipitation or standing in front of a moving object - commercial and service areas
X816,Intentional self-harm caused by precipitation or standing in front of a moving object - industrial and construction areas
X817,Intentional self-harm caused by precipitation or standing in front of a moving object - farm
X818,Intentional self-harm by precipitation or standing in front of a moving object - other specified locations
X819,Intentional self-harm caused by precipitation or standing in front of a moving object - location not specified
X820,Intentional self-harm caused by impact of a motor vehicle - residence
X821,Intentional self-harm caused by impact of a motor vehicle - collective housing
X822,"Intentional self-harm caused by impact of a motor vehicle - schools, other institutions and areas of public administration"
X823,Intentional self-harm caused by impact of a motor vehicle - area for the practice of sports and athletics
X824,Intentional self-harm by impact of a motor vehicle - street and road
X825,Intentional self-harm caused by impact of a motor vehicle - commercial and service areas
X826,Intentional self-harm caused by impact of a motor vehicle - industrial and construction areas
X827,Intentional self-harm by impact of a motor vehicle - farm
X828,Intentional self-harm by impact of a motor vehicle - other specified locations
X829,Intentional self-harm by impact of a motor vehicle - location not specified
X830,Intentional self-harm by other specified means - residence
X831,Self-harm intentionally by other specified means - collective housing
X832,"Self-harm intentionally caused by other specified means - schools, other institutions and areas of public administration"
X833,Self-harm intentionally by other specified means - area for sports and athletics
X834,Self-harm intentionally caused by other specified means - street and road
X835,Self-harm intentionally caused by other specified means - commercial and service areas
X836,Intentional self-harm by other specified means - industrial and construction areas
X837,Self-harm intentionally by other specified means - farm
X838,Self-harm intentionally by other specified means - other specified locations
X839,Self-harm intentionally by other specified means - location not specified
X840,Self-harm intentionally by unspecified means - residence
X841,Intentional self-harm by unspecified means - collective housing
X842,"Self-harm intentionally by unspecified means - schools, other institutions and areas of public administration"
X843,Self-harm intentionally by unspecified means - area for sports and athletics
X844,Self-harm intentionally caused by unspecified means - street and road
X845,Self-harm intentionally by unspecified means - commercial and service areas
X846,Self-harm intentionally by unspecified means - industrial and construction areas
X847,Intentional self-harm by unspecified means - farm
X848,Intentional self-harm by unspecified means - other specified locations
X849,Self-harm intentionally by unspecified means - unspecified site
X850,"Aggression by means of drugs, medications and biological substances - residence"
X851,"Aggression through drugs, medicines and biological substances - collective housing"
X852,"Aggression through drugs, medications, and biological substances - schools, other institutions, and areas of public administration"
X853,"Aggression through drugs, medications and biological substances - area for the practice of sports and athletics"
X854,"Aggression by means of drugs, medicines and biological substances - street and road"
X855,"Aggression through drugs, medicines and biological substances - areas of commerce and services"
X856,"Aggression through drugs, drugs and biological substances - industrial and construction areas"
X857,"Aggression through drugs, medicines and biological substances - farm"
X858,"Aggression by means of drugs, medications, and biological substances - other specified locations"
X859,"Assault by means of drugs, medications and biological substances - location unspecified"
X860,Aggression by means of corrosive substances - residence
X861,Aggression by means of corrosive substances - collective housing
X862,"Aggression by means of corrosive substances - schools, other institutions and areas of public administration"
X863,Aggression by means of corrosive substances - area for the practice of sports and athletics
X864,Aggression by means of corrosive substances - street and road
X865,Aggression by means of corrosive substances - areas of commerce and services
X866,Aggression by means of corrosive substances - industrial and construction areas
X867,Aggression by means of corrosive substances - farm
X868,Aggression by means of corrosive substances - other specified locations
X869,Aggression by means of corrosive substances - location unspecified
X870,Pesticide Aggression - Residence
X871,Pesticide aggression - collective housing
X872,"Pesticide aggression – schools, other institutions and areas of public administration"
X873,Pesticide aggression - area for sports and athletics
X874,Pesticide Aggression - Street and Road
X875,Pesticide aggression - areas of commerce and services
X876,Pesticide Aggression - Industrial and Construction Areas
X877,Pesticide Aggression - Farm
X878,Pesticide aggression - other specified locations
X879,Pesticide aggression - location unspecified
X880,Aggression by means of gases and vapors - residence
X881,Aggression by means of gases and vapours - collective housing
X882,"Aggression by means of gases and vapors - schools, other institutions and areas of public administration"
X883,Aggression by means of gases and vapors - area for the practice of sports and athletics
X884,Aggression by means of gases and vapors - street and road
X885,Aggression by means of gases and vapors - areas of commerce and services
X886,Aggression by means of gases and vapours - industrial and construction areas
X887,Aggression by means of gases and vapors - farm
X888,Aggression by means of gases and vapours - other specified locations
X889,Aggression by means of gases and vapors - location not specified
X890,Assault by means of other specified chemicals and harmful substances - residence
X891,Aggression by means of other specified chemicals and harmful substances - collective housing
X892,"Aggression by means of other specified chemicals and harmful substances – schools, other institutions and areas of public administration"
X893,Aggression by means of other specified chemicals and harmful substances - area for the practice of sports and athletics
X894,Aggression by means of other specified chemicals and harmful substances - street and road
X895,Aggression by means of other specified chemicals and harmful substances - areas of commerce and services
X896,Aggression by means of other specified chemicals and harmful substances - industrial and under construction areas
X897,Aggression by means of other specified chemicals and harmful substances - farm
X898,Aggression by means of other specified chemicals and harmful substances - other specified locations
X899,Aggression by means of other specified chemicals and harmful substances - location not specified
X900,Assault by means of unspecified chemicals and harmful substances - residence
X901,Aggression by means of chemicals and harmful substances not specified - collective housing
X902,"Assault by means of chemicals and harmful substances not specified - schools, other institutions and areas of public administration"
X903,Aggression by means of chemicals and harmful substances not specified - area for the practice of sports and athletics
X904,Aggression by means of chemicals and harmful substances not specified - street and road
X905,Aggression by means of unspecified chemicals and harmful substances - commercial and service areas
X906,Aggression by means of chemicals and harmful substances not specified - industrial and construction areas
X907,Aggression by means of unspecified chemicals and harmful substances - farm
X908,Aggression by means of unspecified chemicals and harmful substances - other specified locations
X909,Aggression by means of unspecified chemicals and harmful substances - location not specified
X910,"Assault by hanging, strangulation, and suffocation - residence"
X911,"Assault by hanging, strangulation and suffocation - collective housing"
X912,"Assault by hanging, strangulation, and suffocation – schools, other institutions, and areas of public administration"
X913,"Assault by hanging, strangulation and suffocation - area for sports and athletics"
X914,"Assault by hanging, strangulation and suffocation - street and road"
X915,"Assault by hanging, strangulation and suffocation - commercial and service areas"
X916,"Assault by hanging, strangulation and suffocation - industrial and construction areas"
X917,"Assault by Hanging, Strangling and Suffocating - Farm"
X918,"Assault by hanging, strangulation, and suffocation - other specified locations"
X919,"Assault by hanging, strangulation, and suffocation - location unspecified"
X920,Assault by drowning and submersion - residence
X921,Aggression by drowning and submersion - collective housing
X922,"Aggression by drowning and submersion - schools, other institutions and areas of public administration"
X923,Aggression by drowning and submersion - area for the practice of sports and athletics
X924,Assault by drowning and submersion - street and road
X925,Aggression by drowning and submersion - commercial and service areas
X926,Aggression by drowning and submersion - industrial and construction areas
X927,Assault by Drowning and Submersion - Farm
X928,Assault by means of drowning and submersion - other specified locations
X929,Assault by drowning and submersion - location unspecified
X930,Assault by firing a handgun - residence
X931,Assault by firing a handgun - collective housing
X932,"Assault by firing a handgun - schools, other institutions and areas of public administration"
X933,Assault by firing a handgun - area for sports and athletics
X934,Assault by firing a hand-held firearm - street and road
X935,Assault by firing a handgun - commercial and service areas
X936,Assault by firing a handgun - industrial and construction areas
X937,Assault by firing a handgun - farm
X938,Assault by firing a hand-held firearm - other specified locations
X939,Assault by firing a hand-held firearm - location unspecified
X940,"Assault by firing a shotgun, carbine or larger caliber firearm - residence"
X941,"Aggression by means of firing a shotgun, carbine or firearm of a larger caliber - collective housing"
X942,"Aggression by firing a shotgun, carbine or firearm of a larger caliber - schools, other institutions and areas of public administration"
X943,"Aggression by means of a shotgun, carbine or firearm of a larger caliber - area for the practice of sports and athletics"
X944,"Aggression by means of firing a shotgun, carbine or firearm of a larger caliber - street and road"
X945,"Aggression by firing a shotgun, carbine or firearm of a larger caliber - commercial and service areas"
X946,"Assault by firing a shotgun, carbine or firearm of a larger caliber - industrial and construction areas"
X947,"Aggression by firing a shotgun, carbine or firearm of a larger caliber - farm"
X948,"Assault by firing a shotgun, carbine or firearm of a larger caliber - other specified locations"
X949,"Assault by firing a shotgun, carbine or firearm of a larger caliber - location not specified"
X950,Assault by firing another firearm or unspecified weapon - residence
X951,Assault by firing another firearm or an unspecified weapon - collective housing
X952,"Assault by firing another firearm or an unspecified weapon - schools, other institutions and areas of public administration"
X953,Assault by firing another firearm or unspecified weapon - area for sports and athletics
X954,Assault by firing another firearm or an unspecified weapon - street and road
X955,Assault by firing another firearm or unspecified weapon - commercial and service areas
X956,Assault by firing another firearm or an unspecified weapon - industrial and construction areas
X957,Assault by firing another firearm or an unspecified weapon - farm
X958,Assault by firing another firearm or an unspecified weapon - other specified locations
X959,Assault by firing another firearm or an unspecified weapon - location not specified
X960,Assault by means of explosive material - residence
X961,Aggression by means of explosive material - collective housing
X962,"Aggression by means of explosive material - schools, other institutions and areas of public administration"
X963,Aggression by means of explosive material - area for the practice of sports and athletics
X964,Assault by means of explosive material - street and road
X965,Aggression by means of explosive material - commercial and service areas
X966,Aggression by means of explosive material - industrial and construction areas
X967,Aggression by means of explosive material - farm
X968,Assault by means of explosive material - other specified locations
X969,Assault by means of explosive material - location unspecified
X970,"Aggression by means of smoke, fire and flames - residence"
X971,"Aggression through smoke, fire and flames - collective housing"
X972,"Aggression through smoke, fire and flames - schools, other institutions and areas of public administration"
X973,"Aggression by means of smoke, fire and flames - area for the practice of sports and athletics"
X974,"Aggression by means of smoke, fire and flames - street and road"
X975,"Aggression through smoke, fire and flames - commercial and service areas"
X976,"Aggression through smoke, fire and flames - industrial and construction areas"
X977,"Aggression through smoke, fire and flames - farm"
X978,"Aggression by means of smoke, fire and flame - other specified locations"
X979,"Assault by means of smoke, fire and flame - location unspecified"
X980,"Aggression by means of water vapor, gases or hot objects - residence"
X981,"Aggression by means of water vapour, gases or hot objects - collective housing"
X982,"Aggression by means of water vapour, gases or hot objects – schools, other institutions and areas of public administration"
X983,"Aggression by means of water vapour, gases or hot objects - area for sports and athletics"
X984,"Aggression by means of water vapour, gases or hot objects - street and road"
X985,"Aggression by means of water vapour, gases or hot objects - commercial and service areas"
X986,"Aggression by means of water vapour, gases or hot objects - industrial and construction areas"
X987,"Aggression by means of water vapor, gases or hot objects - farm"
X988,"Aggression by means of water vapour, gases or hot objects - other specified locations"
X989,"Aggression by means of water vapour, gases or hot objects - location not specified"
X990,Aggression by means of a sharp or penetrating object - residence
X991,Aggression by means of a sharp or penetrating object - collective housing
X992,"Aggression by means of a sharp or penetrating object - schools, other institutions and areas of public administration"
X993,Aggression by means of a sharp or penetrating object - area for the practice of sports and athletics
X994,Aggression by means of a sharp or penetrating object - street and road
X995,Aggression by means of a sharp or penetrating object - commercial and service areas
X996,Aggression by means of a sharp or penetrating object - industrial and construction areas
X997,Aggression by means of a sharp or penetrating object - farm
X998,Assault by means of a sharp or penetrating object - other specified locations
X999,Assault by means of a sharp or penetrating object - location not specified
Y000,Assault by means of a blunt object - residence
Y001,Aggression by means of a blunt object - collective housing
Y002,"Aggression through a blunt object - schools, other institutions and areas of public administration"
Y003,Aggression by means of a blunt object - area for the practice of sports and athletics
Y004,Assault by means of a blunt object - street and road
Y005,Aggression by means of a blunt object - commercial and service areas
Y006,Assault by means of a blunt object - industrial and construction areas
Y007,Aggression by means of a blunt object - farm
Y008,Assault by means of a blunt object - other specified locations
Y009,Assault by means of a blunt object - location unspecified
Y010,Assault by Projection from an Elevated Place - Residence
Y011,Aggression by means of projection from an elevated place - collective housing
Y012,"Aggression by projecting from an elevated place – schools, other institutions and areas of public administration"
Y013,Aggression by means of projection from an elevated place - area for the practice of sports and athletics
Y014,Aggression by means of projection from an elevated place - street and road
Y015,Aggression by projecting from an elevated place - areas of commerce and services
Y016,Aggression by means of projection from an elevated place - industrial and construction areas
Y017,Aggression by means of projection from an elevated place - farm
Y018,Assault by means of projection from an elevated place - other specified locations
Y019,Assault by means of projection from an elevated place - location unspecified
Y020,Aggression by means of projection or placement of the victim in front of a moving object - residence
Y021,Aggression by means of projection or placement of the victim in front of a moving object - collective housing
Y022,"Aggression by means of projection or placement of the victim in front of a moving object - schools, other institutions and areas of public administration"
Y023,Aggression by means of projection or placement of the victim in front of a moving object - area for the practice of sports and athletics
Y024,Aggression by means of projection or placement of the victim in front of a moving object - street and road
Y025,Aggression by means of projection or placement of the victim in front of a moving object - commercial and service areas
Y026,Assault by means of projection or placement of the victim in front of a moving object - industrial and construction areas
Y027,Aggression by means of projection or placement of the victim in front of a moving object - farm
Y028,Assault by means of projection or placement of the victim in front of a moving object - other specified locations
Y029,Aggression by means of projection or placement of the victim in front of a moving object - location not specified
Y030,Assault by impact of a motor vehicle - residence
Y031,Aggression by means of impact of a motor vehicle - collective housing
Y032,"Aggression through impact of a motor vehicle - schools, other institutions and areas of public administration"
Y033,Aggression by means of impact of a motor vehicle - area for the practice of sports and athletics
Y034,Aggression by means of impact of a motor vehicle - street and road
Y035,Assault by means of a motor vehicle impact - commercial and service areas
Y036,Assault by impact of a motor vehicle - industrial and construction areas
Y037,Aggression by means of impact of a motor vehicle - farm
Y038,Aggression by impact of a motor vehicle - other specified locations
Y039,Assault by impact of a motor vehicle - location unspecified
Y040,Assault by means of bodily force - residence
Y041,Aggression by means of bodily force - collective housing
Y042,"Assault by Bodily Force - Schools, Other Institutions and Areas of Public Administration"
Y043,Aggression by means of bodily force - area for the practice of sports and athletics
Y044,Assault by means of bodily force - street and road
Y045,Assault by bodily force - commercial and service areas
Y046,Assault by means of bodily force - industrial and construction areas
Y047,Aggression by means of bodily force - farm
Y048,Assault by means of bodily force - other specified locations
Y049,Assault by means of bodily force - location unspecified
Y050,Sexual assault by means of physical force - residence
Y051,Sexual assault by means of physical force - collective housing
Y052,"Sexual assault by means of physical force - schools, other institutions and areas of public administration"
Y053,Sexual assault by means of physical force - area for sports and athletics
Y054,Sexual assault by means of physical force - street and road
Y055,Sexual assault by physical force - commercial and service areas
Y056,Sexual assault by means of physical force - industrial and construction areas
Y057,Sexual assault through physical force - farm
Y058,Sexual assault by means of physical force - other specified locations
Y059,Sexual assault by means of physical force - location unspecified
Y060,Neglect and abandonment by the spouse or partner
Y061,Parental neglect and abandonment
Y062,Neglect and abandonment by an acquaintance or friend
Y068,Neglect and abandonment by another specified person
Y069,Neglect and abandonment by an unspecified person
Y070,Other syndromes of mistreatment by husband or partner
Y071,Other syndromes of parental maltreatment
Y072,Other syndromes of abuse by acquaintance or friend
Y073,Other syndromes of mistreatment by official authorities
Y078,Other syndromes of mistreatment by another specified person
Y079,Other syndromes of ill-treatment by an unspecified person
Y080,Assault by other specified means - residence
Y081,Aggression by other specified means - collective housing
Y082,"Aggression by other specified means – schools, other institutions and areas of public administration"
Y083,Assault by other specified means - area for sports and athletics
Y084,Assault by other specified means - street and road
Y085,Aggression by other specified means - areas of commerce and services
Y086,Aggression by other specified means - industrial and under construction areas
Y087,Assault by Other Specified Means - Farm
Y088,Assault by other specified means - other specified locations
Y089,Assault by other specified means - location not specified
Y090,Assault by unspecified means - residence
Y091,Aggression by unspecified means - collective housing
Y092,"Aggression by unspecified means - schools, other institutions and areas of public administration"
Y093,Assault by unspecified means - area for sports and athletics
Y094,Assault by unspecified means - street and road
Y095,Aggression by unspecified means - areas of commerce and services
Y096,Assault by unspecified means - industrial and construction areas
Y097,Assault by unspecified means - farm
Y098,Assault by unspecified means - other specified locations
Y099,Assault by unspecified means - location unspecified
Y100,"Poisoning [intoxication] by and exposure to non-opiate analgesics, antipyretics, and antirheumatics, intent not determined - residence"
Y101,"Poisoning [intoxication] by and exposure to non-opiate analgesics, antipyretics and antirheumatics, undetermined intent - collective housing"
Y102,"Poisoning [intoxication] by and exposure to non-opioid analgesics, antipyretics and antirheumatics, intent not determined - schools, other institutions and areas of public administration"
Y103,"Poisoning [intoxication] by and exposure to non-opioid analgesics, antipyretics, and antirheumatics, intent not determined - area for sports and athletics"
Y104,"Poisoning [intoxication] by and exposure to non-opiate analgesics, antipyretics, and antirheumatics, undetermined intent - street and road"
Y105,"Poisoning by and exposure to non-opioid analgesics, antipyretics and antirheumatics, intent not determined - commercial and service areas"
Y106,"Poisoning [intoxication] by and exposure to non-opiate analgesics, antipyretics, and antirheumatics, intent not determined - industrial and under construction areas"
Y107,"Poisoning [intoxication] by and exposure to non-opiate analgesics, antipyretics, and antirheumatics, undetermined intent - farm"
Y108,"Poisoning [intoxication] by and exposure to non-opiate analgesics, antipyretics, and antirheumatics, intent not determined - other specified sites"
Y109,"Poisoning [intoxication] by and exposure to non-opiate analgesics, antipyretics, and antirheumatics, intent not determined - site unspecified"
Y110,"Poisoning [intoxication] by and exposure to anticonvulsants [antiepileptics], sedatives, hypnotics, antiparkinsonians, and psychotropics not elsewhere classified, intent not determined - residence"
Y111,"Poisoning [intoxication] by and exposure to anticonvulsants [antiepileptics], sedatives, hypnotics, antiparkinsonians, and psychotropics not elsewhere classified, intent not determined - collective housing"
Y112,"Poisoning [intoxication] by and exposure to anticonvulsants [antiepileptics], sedatives, hypnotics, antiparkinsonians, and psychotropics not elsewhere classified, intent not determined—schools, other institutions, and areas of public administration"
Y113,"Poisoning [intoxication] by and exposure to anticonvulsants [antiepileptics], sedatives, hypnotics, antiparkinsonians, and psychotropics not elsewhere classified, undetermined intent - area for sports and athletics"
Y114,"Poisoning [intoxication] by and exposure to anticonvulsants [antiepileptics], sedatives, hypnotics, antiparkinsonians, and psychotropics not elsewhere classified, intent not determined—street and road"
Y115,"Poisoning [intoxication] by and exposure to anticonvulsants [antiepileptics], sedatives, hypnotics, antiparkinsonians and psychotropics not elsewhere classified, undetermined intent - areas of commerce and services"
Y116,"Poisoning [intoxication] by and exposure to anticonvulsants [antiepileptics], sedatives, hypnotics, antiparkinsonians, and psychotropics not elsewhere classified, intent not determined—industrial and construction areas"
Y117,"Poisoning [intoxication] by and exposure to anticonvulsants [antiepileptics], sedatives, hypnotics, antiparkinsonians, and psychotropics not elsewhere classified, intent not determined - farm"
Y118,"Poisoning [intoxication] by and exposure to anticonvulsants [antiepileptics], sedatives, hypnotics, antiparkinsonians, and psychotropics not elsewhere classified, intent not determined—other specified sites"
Y119,"Poisoning [intoxication] by and exposure to anticonvulsants [antiepileptics], sedatives, hypnotics, antiparkinsonians, and psychotropics not elsewhere classified, intent undetermined - site unspecified"
Y120,"Poisoning [intoxication] by and exposure to narcotics and to psychodysleptics [hallucinogens] not elsewhere classified, intent not determined - residence"
Y121,"Poisoning [intoxication] by and exposure to narcotics and to psychodysleptics [hallucinogens] not elsewhere classified, intent not determined - collective housing"
Y122,"Poisoning [intoxication] by and exposure to narcotics and to psychodysleptics [hallucinogens] not elsewhere classified, intent not determined - schools, other institutions and areas of public administration"
Y123,"Poisoning [intoxication] by and exposure to narcotics and psychodysleptics [hallucinogens] not elsewhere classified, intent not determined - area for sports and athletics"
Y124,"Poisoning [intoxication] by and exposure to narcotics and to psychodysleptics [hallucinogens] not elsewhere classified, intent not determined - street and road"
Y125,"Poisoning [intoxication] by and exposure to narcotics and psychodysleptics [hallucinogens] not elsewhere classified, undetermined intent - areas of commerce and services"
Y126,"Poisoning [intoxication] by and exposure to narcotics and psychodysleptics [hallucinogens] not elsewhere classified, intent not determined - industrial and construction areas"
Y127,"Poisoning [intoxication] by and exposure to narcotics and psychodysleptics [hallucinogens] not elsewhere classified, intent not determined - farm"
Y128,"Poisoning [intoxication] by and exposure to narcotics and to psychodysleptics [hallucinogens] not elsewhere classified, intent not determined - other specified sites"
Y129,"Poisoning [intoxication] by and exposure to narcotics and to psychodysleptics [hallucinogens] not elsewhere classified, intent not determined - site unspecified"
Y130,"Poisoning [intoxication] by and exposure to other pharmacological substances acting on the autonomic nervous system, undetermined intent - residence"
Y131,"Poisoning [intoxication] by and exposure to other pharmacological substances acting on the autonomic nervous system, undetermined intention - collective housing"
Y132,"Poisoning [intoxication] by and exposure to other pharmacological substances acting on the autonomic nervous system, undetermined intent - schools, other institutions and areas of public administration"
Y133,"Poisoning [intoxication] by and exposure to other pharmacological substances acting on the autonomic nervous system, undetermined intent - area for the practice of sports and athletics"
Y134,"Poisoning [intoxication] by and exposure to other pharmacological substances acting on the autonomic nervous system, undetermined intent - street and road"
Y135,"Poisoning [intoxication] by and exposure to other pharmacological substances acting on the autonomic nervous system, undetermined intent - areas of commerce and services"
Y136,"Poisoning [intoxication] by and exposure to other pharmacological substances acting on the autonomic nervous system, undetermined intent - industrial and construction areas"
Y137,"Poisoning [intoxication] by and exposure to other pharmacological substances acting on the autonomic nervous system, undetermined intent - farm"
Y138,"Poisoning [intoxication] by and exposure to other pharmacological substances acting on the autonomic nervous system, undetermined intent - other specified sites"
Y139,"Poisoning [intoxication] by and exposure to other pharmacological substances acting on the autonomic nervous system, undetermined intent - site unspecified"
Y140,"Poisoning [intoxication] by and exposure to other drugs, drugs, and biological and unspecified substances, undetermined intent - residence"
Y141,"Poisoning [intoxication] by and exposure to other drugs, medicines and biological substances and those unspecified, undetermined intent - collective housing"
Y142,"Poisoning [intoxication] by and exposure to other drugs, drugs, and biological and unspecified substances, undetermined intent - schools, other institutions, and areas of public administration"
Y143,"Poisoning [intoxication] by and exposure to other drugs, drugs, and biological substances and unspecified substances, undetermined intent - area for the practice of sports and athletics"
Y144,"Poisoning [intoxication] by and exposure to other drugs, drugs, and biological and unspecified substances, undetermined intent - street and road"
Y145,"Poisoning by and exposure to other drugs, drugs, biological and unspecified substances, undetermined intent - areas of commerce and services"
Y146,"Poisoning [intoxication] by and exposure to other drugs, drugs, and biological and unspecified substances, undetermined intent - industrial and construction areas"
Y147,"Poisoning [intoxication] by and exposure to other drugs, drugs, and biological and unspecified substances, undetermined intent - farm"
Y148,"Poisoning [intoxication] by and exposure to other drugs, drugs, and biological and unspecified substances, undetermined intent - other specified sites"
Y149,"Poisoning [intoxication] by and exposure to other drugs, drugs, and biological and unspecified substances, undetermined intent - unspecified site"
Y150,"Poisoning [intoxication] by and exposure to alcohol, intent not determined - residence"
Y151,"Poisoning [intoxication] by and exposure to alcohol, intent not determined - collective housing"
Y152,"Alcohol poisoning and exposure to undetermined intent - schools, other institutions, and areas of public administration"
Y153,"Alcohol poisoning and exposure to alcohol, intent not determined - area for sports and athletics"
